"Table S1: Weather data collected from Racetrack Playa, Death Valley National Park",,,,,,
 Data period: Nov-20-2013 to Jan-9-2014 ,,,,,,
"Station located at N36.6823, W117.5515.",,,,,,
"The weather station was equipped with Campbell Scientific CR-800 Data Logger, CS LI200X-LC Pyranometer, CS HMP35C-LC Temp and RH probe, CS GPS16X-HVS-PW, and a R.M. Young 05103-5 Wind Monitor. ",,,,,,
Rainfall collection was made with a Campbell Scientific TE525-LC Tipping Bucket Rain Gauge,,,,,,
,,,,,,
,,,,,,
"Records of Rainfall, Insolation, Air temperature, and Wind velocity are all hourly averages with the time stamp given in the first column",,,,,,
 The record of Maximum wind gust strength (in column 7) is calculated to the nearest minute with a time stamp given in Column 6,,,,,,
,,,,,,
Time Stamp,Hourly Rainfall Total,Hourly Average Insolation,Hourly Average Air Temperature,Hourly Average Wind Velocity,Time Stamp-Wind Gusts,Maximum Wind Gusts
" (Date, Hour)",(mm),(W/m^2),(Deg C),meters/second,"(Date, Hour: Minute)",meters/second
,,,,,,
TimeStamp(Date-Hour),HourlyRainfallTotal(mm),HourlyAverageInsolation(W/m^2),HourlyAverageAirTemperature(DegC),HourlyAverageWindVelocity(m/s),TimeStamp-WindGusts(Date-Hour:Minute),MaximumWindGusts(m/s)
11/20/13 1:00,0,0.067,9.09,2.02,11/20/13 0:25,7.35
11/20/13 2:00,0,0.034,10.34,3.22,11/20/13 1:37,7.35
11/20/13 3:00,0,0,11.53,3.48,11/20/13 2:01,7.154
11/20/13 4:00,0,0.013,11.02,2.83,11/20/13 3:01,5.978
11/20/13 5:00,0,0.016,10.46,1.81,11/20/13 4:00,4.606
11/20/13 6:00,0,0.084,9.42,0.95,11/20/13 5:39,4.606
11/20/13 7:00,0,4.272,8.6,0.88,11/20/13 6:17,3.528
11/20/13 8:00,0,92.9,7.589,0.94,11/20/13 7:19,3.332
11/20/13 9:00,0,326.3,11.74,0.67,11/20/13 8:59,2.058
11/20/13 10:00,0,480.7,13.63,1.22,11/20/13 9:10,2.352
11/20/13 11:00,0,582,15.47,1.09,11/20/13 10:51,2.45
11/20/13 12:00,0,621.5,16.07,1.45,11/20/13 11:52,4.312
11/20/13 13:00,0,593.8,17.02,1.3,11/20/13 12:26,3.43
11/20/13 14:00,0,501.4,17.29,2.12,11/20/13 13:10,4.9
11/20/13 15:00,0,354.7,16.71,3.53,11/20/13 14:51,7.546
11/20/13 16:00,0,173.6,15.98,3.87,11/20/13 15:14,8.43
11/20/13 17:00,0,14.87,14.9,5.4,11/20/13 16:57,10.19
11/20/13 18:00,0,0.003,14.02,6.02,11/20/13 17:27,10.49
11/20/13 19:00,0,0,13.74,4.64,11/20/13 18:02,9.7
11/20/13 20:00,0,0,13.26,2.02,11/20/13 19:56,7.252
11/20/13 21:00,0,0,13.06,4.53,11/20/13 20:32,8.33
11/20/13 22:00,0,0.001,12.28,3.38,11/20/13 21:36,6.762
11/20/13 23:00,0,0,11.57,5.02,11/20/13 22:54,8.13
11/21/13 0:00,0,0,11.72,3.93,11/20/13 23:04,9.02
11/21/13 1:00,0,0.002,11.53,2.27,11/21/13 0:44,5.782
11/21/13 2:00,0,0.001,10.94,3.82,11/21/13 1:12,6.174
11/21/13 3:00,0,0.003,10.44,3.87,11/21/13 2:44,6.762
11/21/13 4:00,0,0.007,9.93,4.25,11/21/13 3:28,6.664
11/21/13 5:00,0,0.001,10.02,3.06,11/21/13 4:07,5.39
11/21/13 6:00,0,0.002,10.12,2.74,11/21/13 5:07,5.194
11/21/13 7:00,0,1.867,9.53,0.73,11/21/13 6:07,1.764
11/21/13 8:00,0,28.51,9.76,0.57,11/21/13 7:03,2.058
11/21/13 9:00,0,147.4,10.68,1.34,11/21/13 8:48,5.978
11/21/13 10:00,0.508,45.46,9.94,3.88,11/21/13 9:22,6.272
11/21/13 11:00,1.778,72.61,8.78,3.07,11/21/13 10:37,6.86
11/21/13 12:00,1.27,79.31,6.903,3.27,11/21/13 11:13,7.84
11/21/13 13:00,1.27,104.8,5.862,4.54,11/21/13 12:44,7.154
11/21/13 14:00,0.508,102.9,5.486,4.4,11/21/13 13:15,8.04
11/21/13 15:00,0.254,50.31,5.063,3.33,11/21/13 14:35,6.468
11/21/13 16:00,0.254,23.9,4.907,4.31,11/21/13 15:20,7.938
11/21/13 17:00,0.254,2.39,4.757,4.95,11/21/13 16:20,9.41
11/21/13 18:00,1.016,0.041,4.423,4.86,11/21/13 17:01,11.27
11/21/13 19:00,0.762,0.002,3.543,2.73,11/21/13 18:35,6.958
11/21/13 20:00,0.762,0,3.135,1.99,11/21/13 19:31,5.194
11/21/13 21:00,0.762,0,2.815,2.24,11/21/13 20:09,5.194
11/21/13 22:00,0.762,0,2.391,3.64,11/21/13 21:17,8.23
11/21/13 23:00,1.016,0,1.684,3.03,11/21/13 22:46,6.468
11/22/13 0:00,0.508,0,0.691,2.28,11/21/13 23:16,4.116
11/22/13 1:00,0.254,0,0.363,1.97,11/22/13 0:35,3.822
11/22/13 2:00,0.508,0,0.336,2.2,11/22/13 1:56,3.822
11/22/13 3:00,0.508,0,0.238,2.28,11/22/13 2:04,3.92
11/22/13 4:00,0.762,0,0.334,2.27,11/22/13 3:52,3.724
11/22/13 5:00,0.508,0,0.465,1.64,11/22/13 4:24,4.9
11/22/13 6:00,0.508,0,0.797,1.58,11/22/13 5:34,5.194
11/22/13 7:00,0.254,0.413,0.579,1.95,11/22/13 6:23,4.41
11/22/13 8:00,0.254,9.73,0.212,2.2,11/22/13 7:15,5.488
11/22/13 9:00,0.508,40.43,0.407,1.69,11/22/13 8:54,4.508
11/22/13 10:00,0.762,63.9,0.264,3.33,11/22/13 9:48,6.468
