Table S2. Movement Data for GPS-Instrumented Stones on Racetrack Playa,,,,,,,,,,,,,,,,
Death Valley National Park,,,,,,,,,,,,,,,,
Stone Name: EOS; Location Designation: A3;  Mass: 16.6 Kg,,,,,,Stone Name: MAIA; Location Designation: A6;  Mass: 8.2 Kg,,,,,,Stone Name: FREYA; Location Designation: A11;  Mass: 15.4 Kg,,,,
"""Date""","""Time(UTC)""","""Lat(deg)""","""Long(deg)""","""Velocity(m/min)""",,"""Date"""," ""Time (UTC)"""," ""Lat (deg)"""," ""Long (deg)""",Velocity (m/min),,Date," ""Time (UTC)"""," ""Lat (deg)"""," ""Long (deg)""",Velocity (m/min)
12/4/13,19:05:54,36.6734081,-117.5529901,0.254755,,12/4/13,19:05:48,36.6741514,-117.5545227,0.383087,,12/20/2013,19:37:59,36.6758253,-117.5554589,0.934046
12/4/13,19:05:55,36.6734081,-117.552992,0.439775,,12/4/13,19:05:49,36.6741537,-117.5545228,0.59045,,12/20/2013,19:38:00,36.6758277,-117.5554541,0.744035
12/4/13,19:05:56,36.6734096,-117.5529928,0.628595,,12/4/13,19:05:50,36.6741546,-117.5545246,0.756583,,12/20/2013,19:38:01,36.6758278,-117.5554543,0.966033
12/4/13,19:05:57,36.6734107,-117.5529935,0.722475,,12/4/13,19:05:51,36.6741549,-117.5545263,0.867154,,12/20/2013,19:38:02,36.6758281,-117.5554543,1.05282
12/4/13,19:05:58,36.6734114,-117.5529936,0.80658,,12/4/13,19:05:52,36.6741548,-117.5545276,0.963095,,12/20/2013,19:38:03,36.6758287,-117.5554542,1.085773
12/4/13,19:05:59,36.6734123,-117.5529931,0.914461,,12/4/13,19:05:53,36.6741547,-117.5545286,1.024399,,12/20/2013,19:38:04,36.6758287,-117.5554538,1.124228
12/4/13,19:06:00,36.6734133,-117.5529923,1.092323,,12/4/13,19:05:54,36.6741545,-117.5545293,1.035935,,12/20/2013,19:38:05,36.6758288,-117.5554535,1.166966
12/4/13,19:06:01,36.6734145,-117.5529919,1.280963,,12/4/13,19:05:55,36.6741542,-117.5545296,1.052739,,12/20/2013,19:38:06,36.675829,-117.5554533,1.179757
12/4/13,19:06:02,36.6734157,-117.5529916,1.45567,,12/4/13,19:05:56,36.6741541,-117.5545298,1.064879,,12/20/2013,19:38:07,36.6758291,-117.5554533,1.214018
12/4/13,19:06:03,36.6734168,-117.5529912,1.633264,,12/4/13,19:05:57,36.6741541,-117.5545299,1.064879,,12/20/2013,19:38:08,36.6758293,-117.5554532,1.24837
12/4/13,19:06:04,36.6734179,-117.5529907,1.814435,,12/4/13,19:05:58,36.6741541,-117.5545299,1.084101,,12/20/2013,19:38:09,36.6758295,-117.5554531,1.291118
12/4/13,19:06:05,36.673419,-117.5529902,1.998613,,12/4/13,19:05:59,36.6741542,-117.55453,1.091361,,12/20/2013,19:38:10,36.6758297,-117.5554529,1.342263
12/4/13,19:06:06,36.6734201,-117.5529896,2.168095,,12/4/13,19:06:00,36.6741543,-117.55453,1.075007,,12/20/2013,19:38:11,36.6758299,-117.5554526,1.414861
12/4/13,19:06:07,36.6734211,-117.5529891,2.322482,,12/4/13,19:06:01,36.6741544,-117.5545298,1.067549,,12/20/2013,19:38:12,36.6758302,-117.5554522,1.4621
12/4/13,19:06:08,36.673422,-117.5529886,2.476706,,12/4/13,19:06:02,36.6741546,-117.5545296,1.06176,,12/20/2013,19:38:13,36.6758303,-117.5554518,1.522407
12/4/13,19:06:09,36.6734229,-117.5529882,2.61828,,12/4/13,19:06:03,36.6741548,-117.5545294,1.056267,,12/20/2013,19:38:14,36.6758305,-117.5554514,1.570604
12/4/13,19:06:10,36.6734237,-117.5529876,2.742909,,12/4/13,19:06:04,36.6741551,-117.5545291,1.065082,,12/20/2013,19:38:15,36.6758306,-117.555451,1.640622
12/4/13,19:06:11,36.6734244,-117.5529871,2.884847,,12/4/13,19:06:05,36.6741554,-117.5545289,1.066834,,12/20/2013,19:38:16,36.6758308,-117.5554505,1.689769
12/4/13,19:06:12,36.6734252,-117.5529866,3.01109,,12/4/13,19:06:06,36.6741557,-117.5545286,1.072423,,12/20/2013,19:38:17,36.6758309,-117.5554501,1.751116
12/4/13,19:06:13,36.6734259,-117.5529861,3.138014,,12/4/13,19:06:07,36.674156,-117.5545283,1.094395,,12/20/2013,19:38:18,36.6758311,-117.5554497,1.812585
12/4/13,19:06:14,36.6734266,-117.5529856,3.265539,,12/4/13,19:06:08,36.6741564,-117.554528,1.108047,,12/20/2013,19:38:19,36.6758313,-117.5554493,1.862572
12/4/13,19:06:15,36.6734273,-117.5529851,3.374448,,12/4/13,19:06:09,36.6741567,-117.5545277,1.13902,,12/20/2013,19:38:20,36.6758314,-117.5554489,1.922697
12/4/13,19:06:16,36.6734279,-117.5529847,3.483642,,12/4/13,19:06:10,36.6741571,-117.5545274,1.159975,,12/20/2013,19:38:21,36.6758315,-117.5554484,1.984679
12/4/13,19:06:17,36.6734285,-117.5529843,3.596219,,12/4/13,19:06:11,36.6741574,-117.5545271,1.198804,,12/20/2013,19:38:22,36.6758317,-117.555448,2.035577
12/4/13,19:06:18,36.6734291,-117.5529838,3.728722,,12/4/13,19:06:12,36.6741578,-117.5545268,1.235855,,12/20/2013,19:38:23,36.6758318,-117.5554476,2.097759
12/4/13,19:06:19,36.6734298,-117.5529832,3.848254,,12/4/13,19:06:13,36.6741582,-117.5545264,1.282268,,12/20/2013,19:38:24,36.675832,-117.5554472,2.159996
